epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.7095,0.87541,1.77724,1.18131,0.92284,0.95139,0.96306,0.75715,0.80781,3.68913,1.05763,0.00032,0.00032,0.00032
2,9.8051,0.83985,0.9448,1.12208,0.85123,0.81818,0.83807,0.60407,0.94337,2.66122,1.23387,0.000646932,0.000646932,0.000646932
3,13.3094,0.88632,0.95642,1.13057,0.67148,0.54545,0.56195,0.34435,1.49002,2.48696,1.53629,0.0009604,0.0009604,0.0009604
4,14.9343,0.97226,0.97193,1.20958,0.634,0.72727,0.73662,0.43404,1.62056,2.14998,1.85487,0.0012604,0.0012604,0.0012604
5,19.1087,0.99049,1.0383,1.20293,0.7289,0.70275,0.76313,0.45824,1.405,1.8058,1.73113,0.00154694,0.00154694,0.00154694
6,20.694,1.14699,1.08386,1.26668,0.21223,0.59091,0.24562,0.11768,1.64169,5.87188,1.7014,0.001802,0.001802,0.001802
7,22.2096,1.09711,1.07572,1.23397,0.74109,0.79545,0.82217,0.48995,1.25292,2.07119,1.43419,0.0017624,0.0017624,0.0017624
8,23.7321,1.0707,1.01835,1.22907,0.75609,0.77273,0.82391,0.5183,1.13946,1.30124,1.27631,0.0017228,0.0017228,0.0017228
9,25.2571,0.94795,0.85672,1.14481,0.71977,0.71591,0.78414,0.50106,1.30379,3.87143,1.64718,0.0016832,0.0016832,0.0016832
10,26.7753,1.00174,0.86818,1.16056,0.77312,0.81321,0.8479,0.57251,1.12811,1.94279,1.44443,0.0016436,0.0016436,0.0016436
11,28.3491,0.95504,0.82261,1.14225,0.74002,0.74399,0.82823,0.49744,1.31628,2.72067,1.59455,0.001604,0.001604,0.001604
12,29.904,0.94702,0.78453,1.15657,0.81711,0.84091,0.8889,0.6057,1.10855,1.84484,1.38783,0.0015644,0.0015644,0.0015644
13,31.4643,0.90663,0.79277,1.12164,0.84508,0.79545,0.89089,0.64022,0.95964,1.11401,1.14824,0.0015248,0.0015248,0.0015248
14,32.9783,0.89121,0.76546,1.10298,0.82597,0.809,0.89219,0.6607,0.96076,1.20337,1.20488,0.0014852,0.0014852,0.0014852
15,34.5153,0.88787,0.74604,1.11449,0.86017,0.85227,0.91144,0.64427,0.93776,1.04755,1.17639,0.0014456,0.0014456,0.0014456
16,36.0354,0.83529,0.73122,1.07877,0.79405,0.87628,0.90973,0.66151,0.90029,0.83076,1.15906,0.001406,0.001406,0.001406
17,37.5586,0.8787,0.74984,1.13054,0.93752,0.82955,0.92574,0.61973,1.15424,0.83477,1.34982,0.0013664,0.0013664,0.0013664
18,39.0848,0.86175,0.7142,1.09229,0.93788,0.85227,0.92846,0.66163,1.07811,0.66201,1.36269,0.0013268,0.0013268,0.0013268
