epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.18004,0.87606,1.77271,1.18048,0.92597,0.93182,0.95953,0.75401,0.80257,3.61598,1.09546,0.00032,0.00032,0.00032
2,13.4691,0.84785,0.96512,1.15476,0.86801,0.81818,0.88069,0.60714,0.96374,3.10591,1.26091,0.000646932,0.000646932,0.000646932
3,19.4763,0.8932,0.97517,1.14555,0.68163,0.81818,0.80321,0.48819,1.01589,3.097,1.27632,0.0009604,0.0009604,0.0009604
4,24.1,0.98115,0.99746,1.1935,0.79953,0.7705,0.83268,0.56915,0.93718,2.74662,1.25557,0.0012604,0.0012604,0.0012604
5,27.7187,0.97414,0.94379,1.2131,0.69019,0.68355,0.74825,0.40903,1.19099,3.05441,1.53257,0.00154694,0.00154694,0.00154694
6,33.4674,1.06661,0.97264,1.24721,0.65479,0.79755,0.80206,0.51048,1.19352,3.14095,1.45642,0.001802,0.001802,0.001802
7,36.7972,1.08364,0.97885,1.25468,0.80558,0.78409,0.84953,0.49785,1.25856,2.08134,1.44225,0.0017624,0.0017624,0.0017624
8,40.1189,1.08076,1.04052,1.2697,0.80769,0.86364,0.88812,0.57083,1.05287,3.19752,1.36644,0.0017228,0.0017228,0.0017228
9,43.4286,1.02071,0.91493,1.19227,0.72244,0.85779,0.80486,0.45672,1.44406,1.98518,1.59875,0.0016832,0.0016832,0.0016832
10,46.7564,1.00804,0.84865,1.19587,0.70032,0.84091,0.76627,0.50566,1.27667,1.74259,1.4526,0.0016436,0.0016436,0.0016436
11,50.0876,0.9973,0.84968,1.17891,0.76464,0.70455,0.7763,0.47908,1.54048,2.38556,1.68272,0.001604,0.001604,0.001604
12,53.375,0.95737,0.79647,1.16587,0.84813,0.81818,0.88976,0.63952,1.01702,1.526,1.27864,0.0015644,0.0015644,0.0015644
13,56.6698,0.9036,0.77015,1.14443,0.88439,0.86935,0.9249,0.69558,0.8806,0.98365,1.21076,0.0015248,0.0015248,0.0015248
14,59.9712,0.86562,0.72229,1.09721,0.93919,0.80682,0.91887,0.68387,0.82658,0.88535,1.14699,0.0014852,0.0014852,0.0014852
15,63.3775,0.85048,0.68591,1.11981,0.87496,0.84091,0.91606,0.65207,0.98996,0.92733,1.1968,0.0014456,0.0014456,0.0014456
16,66.6878,0.79949,0.69333,1.08789,0.80516,0.84091,0.89482,0.62082,0.90056,0.95839,1.16011,0.001406,0.001406,0.001406
17,70.0105,0.88849,0.73914,1.16897,0.87374,0.865,0.93066,0.65305,0.84945,0.83152,1.12941,0.0013664,0.0013664,0.0013664
18,73.3293,0.83758,0.72572,1.11172,0.86232,0.89773,0.9274,0.6227,0.90413,0.77905,1.17598,0.0013268,0.0013268,0.0013268
19,76.6484,0.8345,0.70508,1.10252,0.83053,0.875,0.91689,0.66656,0.84378,0.73295,1.08559,0.0012872,0.0012872,0.0012872
